gid	key	parent_key	parent_table	text
gid_2016_05_07_nynmlb_sdnmlb_1	0	0	media	
gid_2016_05_07_nynmlb_sdnmlb_1	1	1	media	
gid_2016_05_07_nynmlb_sdnmlb_1	2	2	media	
gid_2016_05_07_nynmlb_sdnmlb_1	3	3	media	
gid_2016_05_07_nynmlb_sdnmlb_1	4	4	media	
gid_2016_05_07_nynmlb_sdnmlb_1	5	5	media	
gid_2016_05_07_nynmlb_sdnmlb_1	6	6	media	
gid_2016_05_07_nynmlb_sdnmlb_1	7	7	media	
gid_2016_05_07_nynmlb_sdnmlb_1	8	8	media	
gid_2016_05_07_nynmlb_sdnmlb_1	9	9	media	
gid_2016_05_07_nynmlb_sdnmlb_1	10	10	media	
gid_2016_05_07_nynmlb_sdnmlb_1	11	11	media	
gid_2016_05_07_nynmlb_sdnmlb_1	12	12	media	
gid_2016_05_07_nynmlb_sdnmlb_1	13	13	media	
gid_2016_05_07_nynmlb_sdnmlb_1	14	14	media	
gid_2016_05_07_nynmlb_sdnmlb_1	15	15	media	
gid_2016_05_07_nynmlb_sdnmlb_1	16	16	media	
gid_2016_05_07_nynmlb_sdnmlb_1	17	17	media	
gid_2016_05_07_nynmlb_sdnmlb_1	18	18	media	
gid_2016_05_07_nynmlb_sdnmlb_1	19	19	media	
gid_2016_05_07_nynmlb_sdnmlb_1	20	20	media	
gid_2016_05_07_nynmlb_sdnmlb_1	21	21	media	
gid_2016_05_07_nynmlb_sdnmlb_1	22	22	media	
gid_2016_05_07_nynmlb_sdnmlb_1	23	23	media	
gid_2016_05_07_nynmlb_sdnmlb_1	24	24	media	
gid_2016_05_07_nynmlb_sdnmlb_1	25	25	media	
gid_2016_05_07_nynmlb_sdnmlb_1	26	26	media	
gid_2016_05_07_nynmlb_sdnmlb_1	27	27	media	
